"conceptURI","code_xml","code_ted","op_code"
"http://publications.europa.eu/resource/authority/language/AAF","aaf",,"AAF"
"http://publications.europa.eu/resource/authority/language/AAG","aag",,"AAG"
"http://publications.europa.eu/resource/authority/language/AAH","aah",,"AAH"
"http://publications.europa.eu/resource/authority/language/AAI","aai",,"AAI"
"http://publications.europa.eu/resource/authority/language/AAK","aak",,"AAK"
"http://publications.europa.eu/resource/authority/language/AAL","aal",,"AAL"
"http://publications.europa.eu/resource/authority/language/AAM","aam",,"AAM"
"http://publications.europa.eu/resource/authority/language/AAN","aan",,"AAN"
"http://publications.europa.eu/resource/authority/language/AAO","aao",,"AAO"
"http://publications.europa.eu/resource/authority/language/AAP","aap",,"AAP"
"http://publications.europa.eu/resource/authority/language/AAQ","aaq",,"AAQ"
"http://publications.europa.eu/resource/authority/language/AAR","aa",,"AAR"
"http://publications.europa.eu/resource/authority/language/AAS","aas",,"AAS"
"http://publications.europa.eu/resource/authority/language/AAT","aat",,"AAT"
"http://publications.europa.eu/resource/authority/language/AAU","aau",,"AAU"
"http://publications.europa.eu/resource/authority/language/AAW","aaw",,"AAW"
"http://publications.europa.eu/resource/authority/language/AAX","aax",,"AAX"
"http://publications.europa.eu/resource/authority/language/AAZ","aaz",,"AAZ"
"http://publications.europa.eu/resource/authority/language/ABA","aba",,"ABA"
"http://publications.europa.eu/resource/authority/language/ABB","abb",,"ABB"
"http://publications.europa.eu/resource/authority/language/ABC","abc",,"ABC"
"http://publications.europa.eu/resource/authority/language/ABD","abd",,"ABD"
"http://publications.europa.eu/resource/authority/language/ABE","abe",,"ABE"
"http://publications.europa.eu/resource/authority/language/ABF","abf",,"ABF"
"http://publications.europa.eu/resource/authority/language/ABG","abg",,"ABG"
"http://publications.europa.eu/resource/authority/language/ABH","abh",,"ABH"
"http://publications.europa.eu/resource/authority/language/ABI","abi",,"ABI"
"http://publications.europa.eu/resource/authority/language/ABJ","abj",,"ABJ"
"http://publications.europa.eu/resource/authority/language/ABK","ab",,"ABK"
"http://publications.europa.eu/resource/authority/language/ABL","abl",,"ABL"
"http://publications.europa.eu/resource/authority/language/ABM","abm",,"ABM"
"http://publications.europa.eu/resource/authority/language/ABN","abn",,"ABN"
"http://publications.europa.eu/resource/authority/language/ABO","abo",,"ABO"
"http://publications.europa.eu/resource/authority/language/ABP","abp",,"ABP"
"http://publications.europa.eu/resource/authority/language/ABQ","abq",,"ABQ"
"http://publications.europa.eu/resource/authority/language/ABR","abr",,"ABR"
"http://publications.europa.eu/resource/authority/language/ABS","abs",,"ABS"
"http://publications.europa.eu/resource/authority/language/ABT","abt",,"ABT"
"http://publications.europa.eu/resource/authority/language/ABU","abu",,"ABU"
"http://publications.europa.eu/resource/authority/language/ABV","abv",,"ABV"
"http://publications.europa.eu/resource/authority/language/ABW","abw",,"ABW"
"http://publications.europa.eu/resource/authority/language/ABX","abx",,"ABX"
"http://publications.europa.eu/resource/authority/language/ABY","aby",,"ABY"
